naprzod	GMMClassificator	[7.350400690204976, -16.101572785410927, -5.315609061241089, -0.11245155066734853, 2.9069237037839266]	[3.7764197211926755, 8.211017325357814, 4.035561602200822, 1.2820840544701615, 1.3693604674024795]	[0.025565409976499948, 0.020647063723628366, 0.05482225540020588, 0.7768741407907038, 0.1204064495585435]
odbierz	GMMClassificator	[-5.855795708811699, -16.173839237381213, -0.1527163973883141, 2.7314856557102165, 7.055148853169417]	[4.845790398530083, 6.6288477621820165, 1.3048319807634838, 1.3022822031573296, 3.362045302379365]	[0.04498578796025626, 0.022455663231893453, 0.7828007428697966, 0.12410988461680597, 0.02391341541098553]
odrzuc	GMMClassificator	[2.7291861018405177, -16.50104739400192, -5.716639789983776, -0.13214474020879888, 6.995060700005105]	[1.2668094348828365, 7.166754259609308, 4.413629053521097, 1.2793962061642166, 3.0040132595083566]	[0.1229707134266379, 0.01910534261142608, 0.04881997706722388, 0.7774755420762423, 0.028919519983761435]
odslon	GMMClassificator	[-0.10429929192695375, -16.644982021487646, -5.722383936067518, 8.07097731355355, 3.0815579937855806]	[1.3378299986946132, 5.63795203267624, 4.514649183747205, 4.575336153599105, 1.4522334800810623]	[0.7880283416775901, 0.01740008885116989, 0.0561579861741487, 0.02321373038289117, 0.1130004228612034]
otworz	GMMClassificator	[7.721335787771905, -5.900196958203332, 3.0364568566894348, -15.940381101799295, -0.10149843498713983]	[4.814441116932909, 4.841131964723362, 1.4295168633047475, 7.1861248669723565, 1.3437566160014829]	[0.0386425135683727, 0.05285230564829253, 0.12539686379572698, 0.01662703023440035, 0.7631920507131531]
start	GMMClassificator	[-16.446664208195735, -5.439773641666166, -0.12082656469223231, 6.790720357849764, 2.7467337021733]	[9.275205117144004, 4.051805742299478, 1.250143620073472, 3.676984808902578, 1.272986328036973]	[0.01751563099886361, 0.0528401690274286, 0.772852356607409, 0.02830590578103202, 0.12288036996509018]
stop	GMMClassificator	[8.857478431230193, -16.63766656862069, -0.0808779408001055, 3.1947670354272906, -6.260116663370151]	[6.331175979212615, 5.0487805045180565, 1.2876114190970394, 1.4866305556013228, 4.617095312817821]	[0.021221711674063785, 0.017602491877193226, 0.8012384666473432, 0.12157309712239021, 0.036021989031535376]
wlacz	GMMClassificator	[7.832061821374141, 3.0275089318119486, -6.475992538934714, -17.21975002840071, -0.08229271281005933]	[3.5928451498456493, 1.3844195363872311, 5.1967189904699564, 2.2263683245467774, 1.3166108028638974]	[0.03382464760863729, 0.13611221035543056, 0.03600891890670357, 0.01580623972153412, 0.7765982589931311]
wstecz	GMMClassificator	[-0.15711589979770274, 8.082137993059119, -17.15494577379324, 2.683412385809008, -6.62241398730164]	[1.2975994299296543, 4.632391960787248, 5.263677808005278, 1.3838816712670803, 5.109388760072811]	[0.8219356324609197, 0.01852197406643876, 0.018249164747175885, 0.10976016188401627, 0.028358642294038516]
wylacz	GMMClassificator	[-5.42292720626634, 3.096839077379803, 7.593884563953585, -0.13836174731643439, -15.783238850942796]	[3.943425198681019, 1.4556391032166154, 4.614293352516288, 1.3517948653262966, 10.035202110741542]	[0.07181937824655085, 0.13509539212463637, 0.034359602149827646, 0.7350068977599776, 0.019115128112186408]
zamknij	GMMClassificator	[7.006208678104356, -5.750455629155933, 2.8171820858282843, -16.87051509191437, -0.15106064476706824]	[3.4827811219203855, 4.807959587184091, 1.3219766097888785, 6.470262283626852, 1.3295623966873191]	[0.034445869294104, 0.0683561953282295, 0.13068078778335696, 0.01699368164195762, 0.7463591828935668]
zaslon	GMMClassificator	[3.0321100084119483, -0.08230860876494457, 7.355845245579267, -5.696658508905086, -16.370130047889933]	[1.367968366434604, 1.3168266112991074, 4.343912157918523, 4.386407146089703, 8.308540744180293]	[0.12373254143592308, 0.7660967132847264, 0.029464909057332823, 0.05807063837370434, 0.019095206451010822]
zaswiec	GMMClassificator	[3.100250174886979, -0.12015936329386215, -16.135429071047778, -5.208821948974534, 7.725187513537836]	[1.3898855615489103, 1.3097942866283965, 8.899416529664396, 4.197669799741002, 4.061383808378005]	[0.12206015492416089, 0.7626235800872074, 0.017174211976265365, 0.06440075899241617, 0.027654353968616745]
zgas	GMMClassificator	[7.895400868427617, -16.495675897365697, -5.2083132503725365, -0.11366423690853553, 3.0181888074906094]	[5.010357518061806, 8.59166918061013, 3.7966405470241718, 1.3576578590229786, 1.479587180454359]	[0.028497819280233986, 0.01788516869972375, 0.06467279350851618, 0.7619307495463578, 0.12212527944763805]
